team_name,oppname,outcome,score,venue,ko_year,ko_date,geo_id
Scotland,England,D,0 - 0,"Hamilton Crescent, Partick",1872,30 November 1872,Scotland
England,Scotland,D,0 - 0,"Hamilton Crescent, Partick",1872,30 November 1872,England
Wales,Scotland,L,0 - 4,"Hamilton Crescent, Partick",1876,25 March 1876,Wales
Northern Ireland,England,L,0 - 13,"Bloomfield, Belfast",1882,18 February 1882,Northern Ireland
Uruguay,Argentina,L,0 - 6,"Estadio Paso del Molino, Montevideo",1902,20 July 1902,Uruguay
Argentina,Uruguay,W,6 - 0,"Estadio Paso del Molino, Montevideo",1902,20 July 1902,Argentina
Austria,Hungary,W,5 - 0,"Wiener A.C. Platz, Vienna",1902,12 October 1902,Austria
Hungary,Austria,L,0 - 5,"Wiener A.C. Platz, Vienna",1902,12 October 1902,Hungary
Czech Republic,Hungary,L,1 - 2,"Millenáris Sporttelep, Budapest",1903,5 April 1903,Czechia
Belgium,France,D,3 - 3,"Stade du Vivier d'Oie, Brussels",1904,1 May 1904,Belgium
France,Belgium,D,3 - 3,"Stade du Vivier d'Oie, Brussels",1904,1 May 1904,France
Switzerland,France,L,0 - 1,"Parc des Princes, Paris",1905,12 February 1905,Switzerland
Netherlands,Belgium,W,4 - 1,"Beerschot A.C. Stadion, Antwerp",1905,30 April 1905,Netherlands
Guyana,Trinidad & Tobago,L,1 - 4,British Guiana,1905,21 July 1905,Guyana
Trinidad & Tobago,Guyana,W,4 - 1,British Guiana,1905,21 July 1905,Trinidad and Tobago
Germany,Switzerland,L,3 - 5,"Stadion Landhof, Basel",1908,5 April 1908,Germany
Sweden,Norway,W,11 - 3,"Balders Hage, Gothenburg",1908,12 July 1908,Sweden
Norway,Sweden,L,3 - 11,"Balders Hage, Gothenburg",1908,12 July 1908,Norway
Denmark,France,W,9 - 0,"White City, London",1908,19 October 1908,Denmark
Italy,France,W,6 - 2,"Arena Civica, Milan",1910,15 May 1910,Italy
Chile,Argentina,L,1 - 3,"Belgrano, Buenos Aires",1910,27 May 1910,Chile
Finland,Sweden,L,2 - 5,"Eläintarha Stadium, Helsinki",1911,22 October 1911,Finland
Luxembourg,France,L,1 - 4,"Stade Racing Club, Lëtzebuerg",1911,29 October 1911,Luxembourg
Russia,Finland,L,1 - 2,"Tranebergs Idrottsplats, Stockholm",1912,30 June 1912,Russia
Philippines,China,L,0 - 1,"Carnival Grounds, Manila",1913,1 February 1913,Philippines
China,Philippines,W,1 - 0,"Carnival Grounds, Manila",1913,1 February 1913,China
Brazil,Argentina,L,0 - 3,"Gimnasia, Buenos Aires",1914,20 September 1914,Brazil
